game_number,category_number,value,category,answer,question,air_date,,,,,,,,,,
0,31,0,DAYS OF THE WEEK,"In Spanish & French, the word for Friday comes from the Latin for ""day of"" this goddess",Venus,2014-07-29,,,,,,,,,,
0,32,0,CORPORATE AMERICA,"This Vermont food company's 1995 CEO search was an essay contest with the topic ""Yo!  I Want to be Your CEO\""",Ben & Jerry's,1999-03-02,,,,,,,,,,
0,33,0,CONTEMPORARY NOVELISTS,Seeing young people competing in a reality show on one channel & fighting a war on another gave this author a book idea,Suzanne Collins,2012-05-09,,,,,,,,,,
0,34,0,CONGRESS,The word for this job comes from a fox-hunting term for someone who keeps the hunting dogs from straying,the whip,2006-02-09,,,,,,,,,,
0,35,0,COLLEGES,"Of 60 battles fought in the U.S. Civil War, 55 were commanded on both sides by graduates of this school",United States Military Academy (West Point),2001-05-02,,,,,,,,,,
0,36,0,CLASSIC STORIES,"The opening to this classic story includes the line ""Once upon a time there was a piece of wood\""",Pinocchio,2003-09-24,,,,,,,,,,
0,37,0,CLASSIC MOVIES,A 35-foot-long muslin stocking was used to create the cyclone for this 1939 film,The Wizard of Oz,2004-05-05,,,,,,,,,,
0,38,0,CITIES,"Founded in 1565, it is the oldest continually occupied European settlement in the continental United States","St. Augustine, Florida",2002-02-06,,,,,,,,,,
0,39,0,CHILDREN'S LIT,"This Roald Dahl book begins, ""These two very old people are the father and mother of Mr. Bucket\""",Charlie and the Chocolate Factory,2006-10-05,,,,,,,,,,
0,40,0,CAPITAL CITIES,"It's criss-crossed by dozens of ""peace walls"" that separate its Catholic & Protestant neighborhoods",Belfast,2013-02-07,,,,,,,,,,
0,41,0,CANADIAN CITIES,"The name of this provincial capital means ""queen"" in Latin","Regina, Saskatchewan",2001-05-03,,,,,,,,,,
0,42,0,CALENDARS,"Of the 12 beasts representing years in the Chinese calendar, the one not biologically related to any creature on earth",the dragon,2012-05-02,,,,,,,,,,
0,43,0,BRITISH SCIENTISTS,"In 1859 a theory was born when he wrote, ""from so simple a beginning endless forms... have been, and are being, evolved\""",Charles Darwin,2012-08-01,,,,,,,,,,
0,44,0,BRANDS,"Jack Odell gave his child a tiny vehicle to bring to school inside one of these items, & a toy brand name was born",a matchbox,2011-02-28,,,,,,,,,,
0,45,0,BOOKS FOR KIDS,"In Wonderland, Alice comes upon a mad tea-party attended by the Hatter, March Hare, & this creature, who's asleep",the dormouse,2010-07-09,,,,,,,,,,
0,46,0,BIRDS!  BIRDS!  BIRDS!,"A national symbol, this endangered bird has been making a comeback in recent years",Bald eagle,1999-09-07,,,,,,,,,,
0,47,0,BIG APPLE CIRCUS,"All the circus' dogs are pound and shelter rescues; Ben & Jerry here are this breed, from the German for ""to splash\""",a poodle,2010-07-05,,,,,,,,,,
0,48,0,BIBLICAL WEIGHTS AND MEASURES,"As described in the Bible, the total volume of this was 450,000 cubic cubits",Noah's Ark,2004-10-20,,,,,,,,,,
0,49,0,BIBLICAL NAMES,"This biblical figure's name comes from the Hebrew word meaning ""to be drawn"" from the water",Moses,2005-02-03,,,,,,,,,,
0,50,0,BESTSELLING BOOKS,"This novel is dedicated to Esther Earl, who died of thyroid cancer at 16 & never got to read it",The Fault in Our Stars,2014-07-31,,,,,,,,,,
0,51,0,ASTRONAUTS,"Born Edwin in 1930, this Apollo astronaut legally changed his name in 1982 to his popular nickname",Buzz Aldrin,2005-01-31,,,,,,,,,,
0,52,0,ART BOOKS,"The 2003 book ""Disarmed"" tells the story of this sculptural masterpiece",Venus de Milo,2004-02-11,,,,,,,,,,
0,53,0,ANCIENT LITERATURE,"If you were using an alternate name, the title of this work could be translated as ""Troy Story\""",the Iliad,2019-06-19,,,,,,,,,,
0,54,0,ANCIENT LANDMARKS,It's believed that its nose was about 3 feet wide when it was first constructed around 2500 B.C.,the Sphinx,2012-05-08,,,,,,,,,,
0,55,0,AMERICAN WRITERS,"In a twist of irony, he accidentally set fire to some 300 acres of woods at Fair Haven Pond near the Concord River in 1844",Henry David Thoreau,2018-11-19,,,,,,,,,,
0,56,0,AMERICAN NOVELS,"Chapter 15 of this 1881 novel is entitled ""Tom as King\""",The Prince and the Pauper,1990-02-16,,,,,,,,,,
0,57,0,AMERICAN AUTHORS,"Injured on the Austro-Italian front of July 8, 1918, he also crossed the English Channel with U.S. forces on D-Day",Ernest Hemingway,2007-07-26,,,,,,,,,,
0,58,0,ADVERTISING ICONS,"Introduced in 1963, this internationally known character wears a size 29EEE shoe",Ronald McDonald,2011-07-04,,,,,,,,,,
0,59,0,ADVERTISING,"In Scandinavian countries these characters are known as Pif, Paf & Pof","Snap, Crackle & Pop (from Rice Krispies)",1999-11-03,,,,,,,,,,
0,60,0,A TREASURE MAP,"You will come to this kind of island; it sounds like it would resemble the Sahara, but the word means ""abandoned\""",desert (deserted accepted),2014-12-01,,,,,,,,,,
0,61,0,20th CENTURY VICE PRESIDENTS,The only VP to become president not immediately after his vice presidential term,Richard Nixon,1992-03-06,,,,,,,,,,
0,62,0,20th CENTURY NOVELS,"With the same initials as the author, Harry Haller is the loner protagonist of this 1927 German novel",Steppenwolf (by Hermann Hesse),1998-11-18,,,,,,,,,,
0,63,0,20th CENTURY HISTORY,"On September 2, 1945 New Zealand Air Marshal Leonard Isitt put the final signature on the document that ended this",World War II,2011-07-07,,,,,,,,,,
0,64,0,20th CENTURY BRITISH NOVELS,The phrase that's the title of this novel comes from the translation of the Hebrew word Beelzebub,Lord of the Flies,2002-02-15,,,,,,,,,,
0,65,0,20th CENTURY BOOKS,"In a classic book, this title phrase precedes the words ""which had swept through Georgia\""",Gone with the Wind,2006-02-07,,,,,,,,,,
0,66,0,19th CENTURY POLITICS,"When the GOP convened in 1888, he became the 1st black man to earn a vote for president at a major party convention",Frederick Douglass,2008-11-17,,,,,,,,,,
0,67,0,19th CENTURY NOVELISTS,"She wrote that ""happiness in marriage is entirely a matter of chance\""",Jane Austen,2009-11-12,,,,,,,,,,
0,68,0,19th CENTURY MEN,In 1813 La. Gov. William Claiborne put a $500 bounty on him; he responded by offering one for the gov.'s head,Jean Lafitte,2007-02-15,,,,,,,,,,
0,69,0,19th CENTURY INVENTIONS,"When this was explained to Chief Sho-kup, he gave it a Shoshone name that means ""wire rope express\""",the telegraph,2008-11-10,,,,,,,,,,
0,70,0,18th CENTURY IN THE NEWS,"On Dec. 17, 1773 342 chests of this were in the news",Tea (the Boston Tea Party took place),1997-11-11,,,,,,,,,,
0,71,0,18th CENTURY AMERICANS,"\""Essays to Do Good"" by Cotton Mather inspired Silence Dogood, the newspaper pseudonym of this man",Benjamin Franklin,2019-06-20,,,,,,,,,,
0,72,0,17th CENTURY PEOPLE,"Rev. John Robinson, Minister to these people, wrote them a letter saying how upset he was not to be going with them",the Pilgrims,2007-07-20,,,,,,,,,,
0,73,0,...SEE WHAT'S ON THE SLAB,This slab that's inscribed in 3 different languages was found by the French in 1799,the Rosetta Stone,2008-09-19,,,,,,,,,,
0,74,0,1995,"Published in 1605, the first part of this novel was dedicated to the Duque de Bejar, Marques de Gibraleon...",Don Quixote,1996-05-17,,,,,,,,,,
1,75,0,THE U.S. BEFORE 1900,(Secretary of State Hillary Clinton reads the clue.)  This great American who used his pen to help make us independent was also the first Secretary of State,Thomas Jefferson,2009-11-05,,,,,,,,,,
1,75,0,THE U.S. BEFORE 1900,"On Nov. 18, 1872 Susan B. Anthony was arrested for doing this; she refused to pay ""a dollar of your unjust penalty\""",voting,2009-11-05,,,,,,,,,,
1,75,0,THE U.S. BEFORE 1900,"15 days after the Treaty of Ghent was signed setting an end to the War of 1812, Andrew Jackson beat the British at this city",New Orleans,2009-11-05,,,,,,,,,,
1,75,0,THE U.S. BEFORE 1900,"In 1857 the Supreme Court denied this slave his freedom, bringing the U.S. closer to Civil War",Dred Scott,2009-11-05,,,,,,,,,,
1,75,0,THE U.S. BEFORE 1900,The Mohawk Trail became less important after this waterway was completed in 1825,the Erie Canal,2009-11-05,,,,,,,,,,
1,76,0,ROCKS & MINERALS,"H2O below 32 degrees Fahrenheit, it's considered a mineral if it's formed naturally",ice,2019-06-28,,,,,,,,,,
1,76,0,ROCKS & MINERALS,"Lodestone, a naturally magnetic rock, contains this elemental metal",iron,2019-06-28,,,,,,,,,,
1,76,0,ROCKS & MINERALS,"Dreidel, dreidel, dreidel, I made it out of this 4-letter substance, particles of soil smaller than .002 millimeter",clay,2019-06-28,,,,,,,,,,
1,76,0,ROCKS & MINERALS,To make quartz you need oxygen & this element--& lots of crystallization,silicon,2019-06-28,,,,,,,,,,
1,76,0,ROCKS & MINERALS,"(Sarah of the Clue Crew shows crystalline structures on the monitor.) Crystals fall into seven systems based on the arrangement of the axes they form; the three axes are equal length & all perpendicular in this this symmetric one, known by a 5-letter adjective",cubic,2019-06-28,,,,,,,,,,
1,77,0,THAT'S ENTERTAINMENT!,"A classic line from this 1994 movie is ""Mama says stupid is as stupid does\""",Forrest Gump,1999-11-11,,,,,,,,,,
1,77,0,THAT'S ENTERTAINMENT!,"The Nov. 10, 1998 episode of ""90210"" featured the triumphant return of this actor after a 3-year absence",Luke Perry,1999-11-11,,,,,,,,,,
1,77,0,THAT'S ENTERTAINMENT!,"He played Barney in the 1994 live-action ""Flintstones"" movie",Rick Moranis,1999-11-11,,,,,,,,,,
1,77,0,THAT'S ENTERTAINMENT!,"Dexter Holland, the lead singer of this group, is a dissertation away from a Ph.D. in molecular biology",the Offspring,1999-11-11,,,,,,,,,,
1,77,0,THAT'S ENTERTAINMENT!,"Mekhi Phifer, who was in ""The Boy Is Mine"" video, was one of Brandy's co-stars in this 1998 movie sequel",I Still Know What You Did Last Summer,1999-11-11,,,,,,,,,,
1,78,0,WHAT PLANET ARE YOU FROM?,"It has seasonal weather patterns & iron-rich minerals in the soil, giving it a distinct red color",Mars,2006-10-05,,,,,,,,,,
1,78,0,WHAT PLANET ARE YOU FROM?,"Greater in mass than all the other planets combined, it's surrounded by dozens of moons",Jupiter,2006-10-05,,,,,,,,,,
1,78,0,WHAT PLANET ARE YOU FROM?,Its mean distance from the Sun is only about 36 million miles,Mercury,2006-10-05,,,,,,,,,,
1,78,0,WHAT PLANET ARE YOU FROM?,"It's the smallest & densest of the outer gas giants & has an appropriate name, as it has a watery interior",Neptune,2006-10-05,,,,,,,,,,
1,78,0,WHAT PLANET ARE YOU FROM?,"Bands of debris & ice surround it, as do its satellites, including Titan",Saturn,2006-10-05,,,,,,,,,,
1,79,0,SPECIAL DAYS,"I can smell it in the oven--be it white, wheat or sourdough, November 17 is homemade this",bread,2011-07-07,,,,,,,,,,
1,79,0,SPECIAL DAYS,December 15 is the day to celebrate the ratification of this part of the constitution,the Bill of Rights,2011-07-07,,,,,,,,,,
1,79,0,SPECIAL DAYS,"Mid-June brings world this day; give me 3 balls, 3 rings or better yet 3 flaming torches & I'll show you!",juggling,2011-07-07,,,,,,,,,,
1,79,0,SPECIAL DAYS,"In Tennessee, Confederate Memorial Day is observed on June 3, the birthday of this Confederate president",Jefferson Davis,2011-07-07,,,,,,,,,,
1,79,0,SPECIAL DAYS,"Officially approved by Congress in 2009, National Pi Day is celebrated on this date",14-Mar,2011-07-07,,,,,,,,,,
1,80,0,WORDS CONTAINING SILENT LETTERS,A land mass surrounded on all sides by water,an island,2013-02-01,,,,,,,,,,
1,80,0,WORDS CONTAINING SILENT LETTERS,"It follows ""Ash"" in the name of the first day of Lent",Wednesday,2013-02-01,,,,,,,,,,
1,80,0,WORDS CONTAINING SILENT LETTERS,"From the Greek for ""soul"", it's someone who can foresee the future or read minds",a psychic,2013-02-01,,,,,,,,,,
1,80,0,WORDS CONTAINING SILENT LETTERS,February 2013 has 672 of these units,hours,2013-02-01,,,,,,,,,,
1,80,0,WORDS CONTAINING SILENT LETTERS,A Bowie one is long & dangerous,a knife,2013-02-01,,,,,,,,,,
2,81,0,AMERICAN PRODUCTS ABROAD,In 1984 this chain sold its 50 billionth hamburger & opened in Finland & Taiwan,McDonald's,2006-02-10,,,,,,,,,,
2,81,0,AMERICAN PRODUCTS ABROAD,Oxford House in Hong Kong clocks in as the home of the Asia edition of this newsmagazine,Time,2006-02-10,,,,,,,,,,
2,81,0,AMERICAN PRODUCTS ABROAD,Can't keep this co. bottled up--it was the first U.S. co. to distribute in China when that nation was opened in 1979,Coke,2006-02-10,,,,,,,,,,
2,81,0,AMERICAN PRODUCTS ABROAD,In 1889 the Eastman Company was incorporated in London to distribute products under this snappy name,Kodak,2006-02-10,,,,,,,,,,
2,81,0,AMERICAN PRODUCTS ABROAD,"(Sarah of the Clue Crew reports from a marketplace in Moscow, Russia.)  This 150-year-old San Francisco brand used to be a coveted black market item here in Russia; now it's commonplace",Levi Strauss,2006-02-10,,,,,,,,,,
2,82,0,YOU GLOW!,"4-word adjectival phrase that's used as a synonym for ""phosphorescent\""",glow-in-the-dark,2003-02-11,,,,,,,,,,
2,82,0,YOU GLOW!,"In 1862 Dungeness, on the Strait of Dover, became one of the first of these to use electric illumination",lighthouse,2003-02-11,,,,,,,,,,
2,82,0,YOU GLOW!,The pinecone type of this creature has luminescent organs in its jaws,fish,2003-02-11,,,,,,,,,,
2,82,0,YOU GLOW!,"The FHWA, this part of the Department of Transportation, insists that some road signs be ""retroreflective\""",Federal Highway Administration,2003-02-11,,,,,,,,,,
2,82,0,YOU GLOW!,"Vivid fluorescent colors are also called by the name of this company, founded in 1946",DayGlo,2003-02-11,,,,,,,,,,
2,83,0,YOUR PLANET MUST GO!,"Superman has problems with remnants of his destroyed planet, like the green & red varieties of this substance",kryptonite,2007-07-27,,,,,,,,,,
2,83,0,YOUR PLANET MUST GO!,"A planet goes boom from the Genesis device as the crew searches for this guy in the third ""Star Trek"" movie",Spock,2007-07-27,,,,,,,,,,
2,83,0,YOUR PLANET MUST GO!,This animated alien is known for trying to blow up Earth with his Illudium Pew-36 Explosive Space Modulator,Marvin (the) Martian,2007-07-27,,,,,,,,,,
2,83,0,YOUR PLANET MUST GO!,"Earth was spared thanks to this Nickelodeon ""boy genius"" who competed on ""Intergalactic Showdown\""",Jimmy Neutron,2007-07-27,,,,,,,,,,
2,83,0,YOUR PLANET MUST GO!,"To pave the way for a new hyperspace bypass, Vogons blow up the Earth in this 2005 film",The Hitchhiker's Guide to the Galaxy,2007-07-27,,,,,,,,,,
2,84,0,"YOU GET AN ""F\""","I Corinthians 13 says, ""Now abideth"" this, hope & charity",faith,2007-02-07,,,,,,,,,,
2,84,0,"YOU GET AN ""F\""","This word that means ""easily broken"" comes from a word meaning ""to break\""",fragile,2007-02-07,,,,,,,,,,
2,84,0,"YOU GET AN ""F\""","(Kelly of the Clue Crew stands in front of monitor depicting a cross-section of skin.)  Anagen, catagen & telogen, which is the inactivity until a new hair pushes out the old, are the three growth stages of this sac",the follicle,2007-02-07,,,,,,,,,,
2,84,0,"YOU GET AN ""F\""","These seedless, nonflowering plants reproduce by spores on the undersides of their fronds",ferns,2007-02-07,,,,,,,,,,
2,84,0,"YOU GET AN ""F\""",This musical instrument is sort of a keyless piccolo,a fife,2007-02-07,,,,,,,,,,
2,85,0,"MATH MEN, MYTH MEN",In one version his daughter is among the items he turns to gold with his touch,Midas,2016-11-21,,,,,,,,,,
2,85,0,"MATH MEN, MYTH MEN",My theorem? That you know this whiz who gave his name to the equation a2 + b2 = c2,Pythagoras,2016-11-21,,,,,,,,,,
2,85,0,"MATH MEN, MYTH MEN","We're 100/100ths sure that Simon Stevin introduced the concept of ""decimal"" these to Europe in 1585",fractions,2016-11-21,,,,,,,,,,
2,85,0,"MATH MEN, MYTH MEN","The ancient Greek Hipparchus pioneered this branch of math, from ancient Greek for ""triangle"" & ""measure\""",trigonometry,2016-11-21,,,,,,,,,,
2,85,0,"MATH MEN, MYTH MEN",In mythology Prometheus isn't chained to that rock forever; this hero rescues him,Hercules,2016-11-21,,,,,,,,,,
2,86,0,BIRTHSTONES,"This April birthstone is ""a girl's best friend\""",diamond,2005-01-26,,,,,,,,,,
2,86,0,BIRTHSTONES,"You'll always looked ""cultured"" in the cultured type of this June birthstone",a pearl,2005-01-26,,,,,,,,,,
2,86,0,BIRTHSTONES,"Princess Stephanie of Monaco was born to the purple, so it's fitting that this is her birthstone",the amethyst,2005-01-26,,,,,,,,,,
2,86,0,BIRTHSTONES,You'll rarely see a flaw in this sea-colored gem that's a birthstone for March,aquamarine,2005-01-26,,,,,,,,,,
2,86,0,BIRTHSTONES,It may surprise you that Montana is a good place to find this blue September birthstone,the sapphire,2005-01-26,,,,,,,,,,
3,87,0,READING RAINBOW,"Viewers of my show, ""Reading Rainbow"", got all wrapped up in Aliki's book about ""Mummies Made in"" this country",Egypt,2004-05-04,,,,,,,,,,
3,87,0,READING RAINBOW,"In ""The Paper Crane"" by Molly Bang, a paper bird made from this art form magically comes to life",origami,2004-05-04,,,,,,,,,,
3,87,0,READING RAINBOW,A little brown bat who is raised among birds shines bright in this modern classic,Stellaluna,2004-05-04,,,,,,,,,,
3,87,0,READING RAINBOW,"In a Grimms' fairy tale, this strange little man helps a miller's daughter spin straw into gold",Rumpelstiltskin,2004-05-04,,,,,,,,,,
3,87,0,READING RAINBOW,"In ""Meanwhile Back at the Ranch"", Elna Hicks starts to dig for potatoes & gets rich by striking this liquid",oil,2004-05-04,,,,,,,,,,
3,88,0,L.A. TV,Sheldon & Leonard work at Caltech on this sitcom,The Big Bang Theory,2013-02-04,,,,,,,,,,
3,88,0,L.A. TV,Chris O'Donnell & LL Cool J are very special agents on this drama,NCIS: Los Angeles,2013-02-04,,,,,,,,,,
3,88,0,L.A. TV,Zooey Deschanel plays an adorkable character on this L.A.-set Fox show,New Girl,2013-02-04,,,,,,,,,,
3,88,0,L.A. TV,This CW show starring Shenae Grimes is set in one of the ritziest parts of L.A. County,90210,2013-02-04,,,,,,,,,,
3,88,0,L.A. TV,Exteriors for Cameron & Mitchell's house on this comedy are shot in Century City,Modern Family,2013-02-04,,,,,,,,,,
3,89,0,GRANDMA'S SECRET DIARY,"November 16, 1939: Mom almost forgot to buy a turkey yesterday, she forgot FDR moved this holiday up a week",Thanksgiving,1997-11-03,,,,,,,,,,
3,89,0,GRANDMA'S SECRET DIARY,"May 15, 1942: Dad got a coupon book for this rationing; we only get 3 gal. a week!  Subway, here I come!",Gasoline,1997-11-03,,,,,,,,,,
3,89,0,GRANDMA'S SECRET DIARY,"December 7, 1940: Saw this new Disney film, it was weird!  Hippos dancing ballet?",Fantasia,1997-11-03,,,,,,,,,,
3,89,0,GRANDMA'S SECRET DIARY,"June 4, 1942: Used an eyebrow pencil to draw a line up the back of my legs before my date because I ran out of these",Nylons,1997-11-03,,,,,,,,,,
3,89,0,GRANDMA'S SECRET DIARY,"July 16, 1941: Heard this joltin' Yankee hit in his 56th consecutive game!  I'll be glued to the radio tomorrow!",Joe DiMaggio,1997-11-03,,,,,,,,,,
3,90,0,THE SCHOOL PLAY: ROMEO AND JULIET,Those not cast in individual roles at least got to be part of this group that says the play's first lines,the chorus,2006-02-08,,,,,,,,,,
3,90,0,THE SCHOOL PLAY: ROMEO AND JULIET,Romeo's parents sobbed in the audience as he ended his life with this method,poison,2006-02-08,,,,,,,,,,
3,90,0,THE SCHOOL PLAY: ROMEO AND JULIET,"Juliet kept giggling through this line in Act II, scene 2 where she says her lover's name 3 times","\""Romeo, Romeo, wherefore art thou, Romeo?\""",2006-02-08,,,,,,,,,,
3,90,0,THE SCHOOL PLAY: ROMEO AND JULIET,The kid playing the old head of this family of Juliet's couldn't get his beard to stay on,the Capulets,2006-02-08,,,,,,,,,,
3,90,0,THE SCHOOL PLAY: ROMEO AND JULIET,"As the cast party broke up, the director quoted, ""Good night, good night!  Parting is such"" this",sweet sorrow,2006-02-08,,,,,,,,,,
3,91,0,THE BOSS,"Since 1974, they've been the band that backs up the Boss",E Street Band,1987-02-24,,,,,,,,,,
3,91,0,THE BOSS,"Though he's never had a #1 single, this song boogied on up to #2 in 1984","\""Dancing in the Dark\""",1987-02-24,,,,,,,,,,
3,91,0,THE BOSS,"In October 1975, the Boss graced the covers of these 2 weekly magazines simultaneously",Time & Newsweek,1987-02-24,,,,,,,,,,
3,91,0,THE BOSS,"In May 1985, he broke many female hearts by marrying this actress",Julianne Phillips,1987-02-24,,,,,,,,,,
3,91,0,THE BOSS,"Bruce was indeed born in the U.S.A.--in this town, in fact","Freehold, New Jersey",1987-02-24,,,,,,,,,,
3,92,0,THE MASON-DIXON LINE,"As well as surveyors, Mason & Dixon had this profession, Mason having worked at the Greenwich Observatory",Astronomers,1999-03-04,,,,,,,,,,
3,92,0,THE MASON-DIXON LINE,The line settled a dispute between Maryland's Calverts & this family that ran the colony to the north,Penn,1999-03-04,,,,,,,,,,
3,92,0,THE MASON-DIXON LINE,"As the boundary between slave & free states, the line extended along this river to the Mississippi",Ohio River,1999-03-04,,,,,,,,,,
3,92,0,THE MASON-DIXON LINE,"With remarkable accuracy, Mason & Dixon set the line at 39 degrees 43'17.6"" of this",Latitude,1999-03-04,,,,,,,,,,
3,92,0,THE MASON-DIXON LINE,"The term ""Mason & Dixon's Line"" was first used in the debate leading to this 1820 compromise",Missouri Compromise,1999-03-04,,,,,,,,,,
4,93,0,INITIALS,"If you win the $25 grand, you'll soon find out that IRS means this",Internal Revenue Service,1987-02-20,,,,,,,,,,
4,93,0,INITIALS,"It's the ""p"" in Op sportswear",Pacific,1987-02-20,,,,,,,,,,
4,93,0,INITIALS,"The medical procedure ""CPR"" stands for this",cardiopulmonary resuscitation,1987-02-20,,,,,,,,,,
4,93,0,INITIALS,"The initials meaning ""that is"" are not ""t.i."", but these, from the original Latin words",i.e.,1987-02-20,,,,,,,,,,
4,93,0,INITIALS,The largest national broadcast TV network of our north-of-the-border neighbor,CBC,1987-02-20,,,,,,,,,,
4,94,0,LET'S GO A-CAROLING,"\""We wish you a merry Christmas, we wish you a merry Christmas, we wish you a merry Christmas and"" this",a happy new year,2001-12-27,,,,,,,,,,
4,94,0,LET'S GO A-CAROLING,"It's what we're to ""deck the halls"" with",boughs of holly,2001-12-27,,,,,,,,,,
4,94,0,LET'S GO A-CAROLING,"\""On the third day of Christmas, my true love sent to me three"" of these",French hens,2001-12-27,,,,,,,,,,
4,94,0,LET'S GO A-CAROLING,"In German this traditional yuletide favorite is titled ""O Tannenbaum\""","\""O Christmas Tree\""",2001-12-27,,,,,,,,,,
4,94,0,LET'S GO A-CAROLING,"In 929 this ""Good King"" of song, who was actually a duke, was murdered by his wicked younger brother",King Wenceslas,2001-12-27,,,,,,,,,,
4,95,0,A SHOT AT LOVE,She imprisoned Walter Raleigh in the Tower of London after he secretly married one of her maids of honor,Elizabeth I,2008-11-19,,,,,,,,,,
4,95,0,A SHOT AT LOVE,Sharpshooter Frank Butler abandoned his career to manage this even sharper-shooting gal,Annie Oakley,2008-11-19,,,,,,,,,,
4,95,0,A SHOT AT LOVE,In 1632 Shah Jahan began building this Mausoleum for his favorite wife,the Taj Mahal,2008-11-19,,,,,,,,,,
4,95,0,A SHOT AT LOVE,There was a certain glow in the air when Maria Sklodowska caught the eye of this French physicist in 1894,Pierre Curie,2008-11-19,,,,,,,,,,
